	fname	Emotion_pos_mean	Emotion_neg_mean	Emotion_pos_series	Emotion_neg_series	fname	Char_pos_mean	Char_neg_mean	Char_pos_series	Char_neg_series	fname	Body_pos_mean	Body_neg_mean	Body_pos_series	Body_neg_series	fname	Attraction_mean	Attraction_series	fname	ME_series	ME_long	fname	HE_series	fname	CO_series
k00300001139	k00300001139§emotions_dataset.tsv	0.0186164100206849	0.009193288899103653	[0.2, 0.2, 0.4, 0.6, 0.4, 0.8, 0.6, 0.6, 0.75, 3.5, 1.0, 1.0, 0.0, 0.5, 0.25, 0.75, 1.5, 1.5, 1.5, 3.25]	[0.0, 0.2, 0.4, 0.4, 0.6, 0.2, 0.6, 0.6, 0.0, 0.0, 0.25, 0.25, 0.25, 0.75, 1.0, 0.25, 0.5, 0.75, 0.25, 2.0]	k00300001139§character_dataset.tsv	0.008273960009193289	0.0075844633417605145	[0.0, 0.2, 0.2, 0.4, 0.2, 0.8, 0.4, 0.0, 0.25, 2.0, 0.5, 0.5, 0.0, 0.25, 0.5, 0.0, 0.5, 1.0, 0.5, 0.25]	[0.0, 0.0, 1.0, 0.8, 0.2, 0.6, 1.6, 0.0, 0.0, 1.0, 0.0, 0.0, 0.25, 0.0, 0.5, 0.0, 0.25, 0.5, 0.0, 0.5]	k00300001139§body_dataset.tsv	0.03263617559181797	0.002528154447253505	[0.0, 0.0, 1.4, 1.0, 0.6, 2.0, 1.2, 0.8, 0.25, 12.75, 1.0, 2.75, 0.0, 0.25, 0.0, 0.0, 3.0, 3.5, 2.25, 1.0]	[0.0, 0.0, 0.4, 0.4, 0.0, 0.2, 0.6, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]	k00300001139§attraction_dataset.tsv	0.07883245230981384	[0.4, 1.2, 3.2, 1.8, 1.2, 4.6, 3.4, 2.8, 0.25, 25.5, 3.0, 4.5, 0.0, 2.0, 1.0, 0.5, 5.25, 10.25, 6.0, 4.25]	k00300001139§ME.tsv	[0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]	2	k00300001139§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	k00300001139§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9783740911843	9783740911843§emotions_dataset.tsv	0.014277555682467162	0.018275271273557967	[0.75, 0.25, 0.25, 0.75, 0.0, 0.6666666666666666, 0.0, 1.0, 0.3333333333333333, 0.0, 1.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 1.0]	[0.25, 0.0, 0.75, 1.5, 0.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 2.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 1.0]	9783740911843§character_dataset.tsv	0.0028555111364934323	0.01599086236436322	[0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]	[0.0, 0.0, 0.75, 1.75, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.3333333333333333, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666]	9783740911843§body_dataset.tsv	0.009708737864077669	0.0017133066818960593	[0.0, 0.0, 0.0, 1.75, 0.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 0.0, 1.6666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0]	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666]	9783740911843§attraction_dataset.tsv	0.01656196459166191	[0.25, 0.0, 0.25, 0.5, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 1.0, 0.0, 2.0, 0.0, 0.3333333333333333, 0.0, 0.0, 1.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 1.3333333333333333]	9783740911843§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	5	9783740911843§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	9783740911843§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
k00300002650	k00300002650§emotions_dataset.tsv	0.018620689655172412	0.014827586206896552	[0.4, 0.2, 0.6, 1.0, 0.4, 0.0, 0.4, 0.0, 0.2, 0.2, 1.0, 0.75, 0.0, 1.25, 1.5, 0.25, 1.75, 0.75, 0.75, 1.0]	[0.0, 0.6, 0.8, 0.4, 0.6, 0.6, 0.4, 0.2, 0.2, 0.6, 0.8, 1.0, 0.0, 0.5, 0.75, 0.5, 0.25, 1.0, 0.25, 0.0]	k00300002650§character_dataset.tsv	0.01206896551724138	0.01206896551724138	[0.0, 0.0, 0.8, 0.0, 0.6, 0.2, 0.8, 0.4, 0.2, 0.0, 0.0, 0.25, 0.0, 0.5, 0.75, 0.5, 1.5, 0.0, 0.75, 0.75]	[0.4, 0.8, 0.0, 1.0, 0.8, 0.2, 0.2, 0.2, 0.4, 0.4, 0.6, 0.25, 0.0, 0.0, 1.0, 0.0, 0.5, 0.75, 0.0, 0.0]	k00300002650§body_dataset.tsv	0.03896551724137931	0.00896551724137931	[0.2, 0.8, 1.6, 1.4, 2.0, 0.6, 1.6, 0.0, 1.4, 0.2, 1.0, 0.5, 0.25, 1.25, 3.5, 1.25, 3.0, 1.0, 2.5, 1.5]	[0.0, 0.8, 0.2, 0.6, 0.2, 0.2, 0.2, 0.2, 0.6, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.5, 1.5, 0.0]	k00300002650§attraction_dataset.tsv	0.08551724137931034	[0.2, 0.4, 1.4, 4.2, 3.6, 1.4, 2.8, 0.6, 2.8, 0.6, 3.6, 3.0, 0.25, 3.25, 8.25, 5.25, 8.0, 3.0, 1.5, 2.5]	k00300002650§ME.tsv	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]	3	k00300002650§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]	k00300002650§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
Verlockende Valentinsnacht$Stephanie Bond, Leslie Kelly, Michelle Rowen$Baccara$Cora$[tiffany] Tiffany Valentinsband 0001.txt	Verlockende Valentinsnacht$Stephanie Bond, Leslie Kelly, Michelle Rowen$Baccara$Cora$[tiffany] Tiffany Valentinsband 0001.txt§emotions_dataset.tsv	0.014925373134328358	0.01105583195135434	[0.0, 0.0, 0.0, 0.5, 0.6666666666666666, 1.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.0, 1.6666666666666667, 0.3333333333333333, 0.0, 2.3333333333333335]	[0.0, 0.0, 0.5, 0.5, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 1.0, 0.3333333333333333, 0.0, 1.3333333333333333]	Verlockende Valentinsnacht$Stephanie Bond, Leslie Kelly, Michelle Rowen$Baccara$Cora$[tiffany] Tiffany Valentinsband 0001.txt§character_dataset.tsv	0.00552791597567717	0.004975124378109453	[0.0, 0.25, 0.0, 0.25, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333]	[0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]	Verlockende Valentinsnacht$Stephanie Bond, Leslie Kelly, Michelle Rowen$Baccara$Cora$[tiffany] Tiffany Valentinsband 0001.txt§body_dataset.tsv	0.050304035378662244	0.003316749585406302	[0.0, 0.25, 2.5, 1.75, 0.3333333333333333, 4.0, 1.0, 0.3333333333333333, 0.3333333333333333, 1.3333333333333333, 0.3333333333333333, 1.3333333333333333, 1.6666666666666667, 0.3333333333333333, 2.3333333333333335, 7.333333333333333, 1.0, 1.0, 0.3333333333333333, 1.3333333333333333]	[0.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333]	Verlockende Valentinsnacht$Stephanie Bond, Leslie Kelly, Michelle Rowen$Baccara$Cora$[tiffany] Tiffany Valentinsband 0001.txt§attraction_dataset.tsv	0.07517965726920951	[0.0, 0.0, 2.0, 2.25, 0.6666666666666666, 6.333333333333333, 0.6666666666666666, 1.6666666666666667, 0.6666666666666666, 0.6666666666666666, 1.0, 1.3333333333333333, 2.0, 1.6666666666666667, 4.666666666666667, 11.333333333333334, 2.0, 2.0, 1.3333333333333333, 1.6666666666666667]	Verlockende Valentinsnacht$Stephanie Bond, Leslie Kelly, Michelle Rowen$Baccara$Cora$[tiffany] Tiffany Valentinsband 0001.txt§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]	4	Verlockende Valentinsnacht$Stephanie Bond, Leslie Kelly, Michelle Rowen$Baccara$Cora$[tiffany] Tiffany Valentinsband 0001.txt§HE.tsv	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	Verlockende Valentinsnacht$Stephanie Bond, Leslie Kelly, Michelle Rowen$Baccara$Cora$[tiffany] Tiffany Valentinsband 0001.txt§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
1025686667	1025686667§emotions_dataset.tsv	0.009666080843585237	0.0017574692442882249	[1.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]	[0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1025686667§character_dataset.tsv	0.006151142355008787	0.008787346221441126	[0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]	[0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0]	1025686667§body_dataset.tsv	0.01757469244288225	0.004393673110720563	[0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]	1025686667§attraction_dataset.tsv	0.016695957820738138	[0.3333333333333333, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.3333333333333333, 0.3333333333333333, 1.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]	1025686667§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]	6	1025686667§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1025686667§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1025686810	1025686810§emotions_dataset.tsv	0.002697841726618705	0.008093525179856115	[0.0, 0.0, 0.4, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.4, 0.2, 0.0, 0.0, 0.25, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]	1025686810§character_dataset.tsv	0.0044964028776978415	0.0044964028776978415	[0.0, 0.0, 0.2, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0]	[0.0, 0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]	1025686810§body_dataset.tsv	0.007194244604316547	0.0017985611510791368	[0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25, 0.25]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]	1025686810§attraction_dataset.tsv	0.015287769784172662	[0.0, 0.0, 0.4, 0.8, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 0.0, 0.5, 0.0, 0.25]	1025686810§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	11	1025686810§HE.tsv	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1025686810§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
Ehe ohne Hochzeitsnacht$Sandra Heyden$Siliva Gold$Bastei$9783751708470.txt	Ehe ohne Hochzeitsnacht$Sandra Heyden$Siliva Gold$Bastei$9783751708470.txt§emotions_dataset.tsv	0.015608180839612486	0.011840688912809472	[0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 1.3333333333333333, 0.0, 0.5, 1.5, 0.5, 1.0, 0.0, 0.0, 1.0, 0.0, 0.5, 4.0, 0.0, 0.5, 2.0, 0.0]	[1.0, 0.0, 0.6666666666666666, 0.3333333333333333, 1.0, 0.0, 0.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.5, 0.0, 0.0, 0.0]	Ehe ohne Hochzeitsnacht$Sandra Heyden$Siliva Gold$Bastei$9783751708470.txt§character_dataset.tsv	0.010764262648008612	0.02691065662002153	[0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.5, 0.5, 0.0, 1.5, 0.5, 0.5, 1.0, 0.0, 0.0, 2.5, 0.0, 1.5, 0.5, 0.0]	[1.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.6666666666666667, 1.3333333333333333, 0.6666666666666666, 0.5, 0.0, 1.0, 6.0, 0.0, 2.0, 0.5, 0.5, 0.5, 1.0, 2.0, 1.0, 0.5, 0.0]	Ehe ohne Hochzeitsnacht$Sandra Heyden$Siliva Gold$Bastei$9783751708470.txt§body_dataset.tsv	0.03606027987082885	0.006996770721205597	[1.0, 0.6666666666666666, 2.6666666666666665, 2.3333333333333335, 3.3333333333333335, 0.0, 0.5, 1.5, 0.5, 6.0, 1.0, 0.5, 1.0, 0.0, 0.0, 4.5, 0.0, 1.5, 1.5, 0.0]	[0.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.5, 0.0, 0.5, 1.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]	Ehe ohne Hochzeitsnacht$Sandra Heyden$Siliva Gold$Bastei$9783751708470.txt§attraction_dataset.tsv	0.051130247578040904	[0.0, 0.3333333333333333, 1.0, 1.6666666666666667, 2.6666666666666665, 0.0, 3.5, 2.0, 1.0, 11.0, 2.5, 1.5, 2.0, 0.0, 0.5, 9.5, 0.0, 2.5, 3.0, 0.0]	Ehe ohne Hochzeitsnacht$Sandra Heyden$Siliva Gold$Bastei$9783751708470.txt§ME.tsv	[0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]	3	Ehe ohne Hochzeitsnacht$Sandra Heyden$Siliva Gold$Bastei$9783751708470.txt§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	Ehe ohne Hochzeitsnacht$Sandra Heyden$Siliva Gold$Bastei$9783751708470.txt§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
k00300002503	k00300002503§emotions_dataset.tsv	0.03673229503379371	0.012635909491625037	[0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 0.0, 3.0, 0.3333333333333333, 0.3333333333333333, 2.3333333333333335, 3.0, 2.0, 6.0, 0.5, 2.0, 5.0, 3.0, 9.0, 1.5, 11.5, 4.5]	[0.6666666666666666, 1.0, 0.0, 0.0, 0.0, 1.3333333333333333, 1.6666666666666667, 1.0, 0.3333333333333333, 0.3333333333333333, 1.6666666666666667, 0.5, 1.0, 2.0, 0.0, 0.5, 0.5, 0.5, 4.0, 0.5]	k00300002503§character_dataset.tsv	0.011460476050543638	0.004114017043784896	[0.0, 0.0, 0.6666666666666666, 2.3333333333333335, 0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 1.6666666666666667, 0.5, 0.0, 1.0, 2.5, 0.0, 2.5, 0.0, 1.0, 0.0]	[0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0]	k00300002503§body_dataset.tsv	0.0461357625624449	0.0014692918013517484	[0.0, 0.0, 2.3333333333333335, 3.0, 0.3333333333333333, 4.0, 0.6666666666666666, 1.3333333333333333, 2.3333333333333335, 6.333333333333333, 2.0, 8.5, 0.0, 6.0, 15.0, 0.0, 8.0, 0.0, 6.5, 1.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0]	k00300002503§attraction_dataset.tsv	0.10431971789597413	[0.0, 0.3333333333333333, 3.3333333333333335, 6.666666666666667, 0.6666666666666666, 6.0, 2.0, 2.6666666666666665, 7.333333333333333, 11.666666666666666, 10.333333333333334, 15.0, 2.5, 9.5, 38.0, 2.5, 18.5, 1.5, 10.5, 3.0]	k00300002503§ME.tsv	[1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1]	2	k00300002503§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	k00300002503§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
k00300002567	k00300002567§emotions_dataset.tsv	0.014820213799805637	0.011661807580174927	[0.3333333333333333, 1.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.6666666666666666, 0.6666666666666666, 3.6666666666666665, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 4.5, 0.5, 3.0, 0.0, 0.0, 1.5, 1.0, 6.5]	[0.3333333333333333, 2.3333333333333335, 1.3333333333333333, 0.0, 0.3333333333333333, 0.6666666666666666, 1.0, 2.0, 1.6666666666666667, 1.0, 0.6666666666666666, 0.0, 1.5, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 4.0]	k00300002567§character_dataset.tsv	0.010932944606413994	0.008017492711370262	[0.0, 2.3333333333333335, 1.6666666666666667, 0.0, 0.0, 0.3333333333333333, 1.0, 1.6666666666666667, 2.3333333333333335, 0.3333333333333333, 0.0, 0.0, 3.5, 0.0, 0.5, 0.5, 0.0, 0.5, 1.5, 1.5]	[1.0, 0.6666666666666666, 2.3333333333333335, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 1.0, 0.0, 0.3333333333333333, 1.3333333333333333, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 1.0, 0.0, 1.5]	k00300002567§body_dataset.tsv	0.03304178814382896	0.0060738581146744415	[1.3333333333333333, 4.666666666666667, 3.0, 0.0, 0.3333333333333333, 1.3333333333333333, 1.0, 5.0, 1.6666666666666667, 2.3333333333333335, 1.0, 0.0, 26.5, 0.0, 1.5, 0.5, 0.0, 0.5, 1.0, 5.5]	[1.0, 1.6666666666666667, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 1.5, 0.0, 1.5]	k00300002567§attraction_dataset.tsv	0.05879494655004859	[1.0, 3.3333333333333335, 3.3333333333333335, 0.6666666666666666, 0.0, 1.0, 1.0, 14.333333333333334, 5.333333333333333, 3.3333333333333335, 3.6666666666666665, 0.0, 41.5, 1.0, 4.5, 0.5, 0.0, 4.5, 1.0, 12.5]	k00300002567§ME.tsv	[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]	2	k00300002567§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	k00300002567§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
k00300002570	k00300002570§emotions_dataset.tsv	0.007661888284725655	0.009639149777558082	[0.0, 0.0, 0.0, 0.16666666666666666, 1.3333333333333333, 0.5, 0.0, 0.16666666666666666, 0.8333333333333334, 0.2, 0.0, 0.2, 0.0, 0.4, 0.2, 0.0, 0.2, 0.2, 0.6, 0.6]	[0.5, 0.16666666666666666, 0.16666666666666666, 1.3333333333333333, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.6, 0.4, 0.0, 0.0, 1.2, 0.0, 0.4, 0.0, 0.0, 0.6, 0.0]	k00300002570§character_dataset.tsv	0.007167572911517549	0.006426099851705388	[0.0, 0.0, 0.16666666666666666, 0.5, 1.3333333333333333, 0.16666666666666666, 0.0, 0.3333333333333333, 0.6666666666666666, 0.2, 0.0, 0.4, 0.2, 0.4, 0.2, 0.0, 0.2, 0.0, 0.2, 0.2]	[0.16666666666666666, 0.3333333333333333, 0.5, 1.1666666666666667, 0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.4, 0.0, 0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0]	k00300002570§body_dataset.tsv	0.025210084033613446	0.003213049925852694	[0.16666666666666666, 0.0, 0.5, 1.5, 2.1666666666666665, 2.3333333333333335, 0.3333333333333333, 1.1666666666666667, 2.5, 0.2, 0.0, 0.6, 0.4, 2.6, 0.8, 0.8, 0.2, 1.0, 0.4, 0.6]	[0.0, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0]	k00300002570§attraction_dataset.tsv	0.04745427582797825	[0.6666666666666666, 0.0, 0.5, 2.5, 2.6666666666666665, 3.1666666666666665, 0.6666666666666666, 2.8333333333333335, 6.333333333333333, 0.0, 0.2, 2.2, 1.8, 4.6, 1.4, 0.8, 0.2, 0.2, 1.8, 2.0]	k00300002570§ME.tsv	[0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]	3	k00300002570§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	k00300002570§CO.tsv	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
